128,10127,364741,977410
256,7073,372453,975516
512,12415,394179,986028
1024,22972,437467,1.00778e+06
2048,44033,524046,1.05099e+06
4096,86136,697265,1.13831e+06
8192,170450,1.04392e+06,1.31133e+06
